Id, Line, CharNumber, Original, Mutant
0, 14, 41, ++, --
1, 14, 41, +, -
2, 14, 41, +, *
3, 14, 41, +, /
4, 14, 42, +, -
5, 14, 42, +, *
6, 14, 42, +, /
7, 67, 18, *, +
8, 67, 18, *, -
9, 67, 18, *, /
10, 68, 18, /, +
11, 68, 18, /, -
12, 68, 18, /, *
13, 71, 18, +, -
14, 71, 18, +, *
15, 71, 18, +, /
16, 72, 18, -, +
17, 72, 18, -, *
18, 72, 18, -, /

Type, Count
--, 1
*, 5
+, 3
-, 5
/, 5
